Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
0.000,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,START
7.748,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
9.352,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
9.746,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
11.602,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
15.350,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
33.293,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
34.294,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
36.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,STOP
56.184,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,biting,Overt aggression,group female,,POINT
64.542,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,not home-shell,START
71.044,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,STOP
73.297,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
82.542,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
103.297,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
113.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,not home shell,START
118.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,STOP
