Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
0.600,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
2.101,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
8.601,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
11.101,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
11.601,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
11.601,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
13.601,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
13.852,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
14.852,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
17.043,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,tail beat,Restrained aggression,presentation fish,,POINT
19.100,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
21.351,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
21.793,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,tail beat,Restrained aggression,presentation fish,,POINT
24.600,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
30.851,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
32.293,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
32.793,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
38.601,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group female,,POINT
40.101,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,START
40.601,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
42.351,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,STOP
44.350,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
46.793,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
46.793,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
52.792,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
52.792,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
55.543,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
55.543,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
58.922,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
58.922,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
66.101,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
68.104,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
69.047,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
70.043,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
71.792,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
81.793,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
84.351,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
117.293,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,START
211.101,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
223.926,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,START
227.426,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,STOP
235.292,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,STOP
260.792,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
272.676,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
275.041,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
293.800,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_1,shell escape,Escape,,,POINT
